representation,fold,seed,n_fit,n_test,feature_dim,rep_family,condition,branch,scanner_probe_accuracy,category_probe_accuracy,category_probe_macro_f1,purity_k1,purity_k5,purity_k10,same_sample_retrieval_k1,effective_rank,category_scanner_ratio,runtime_seconds,k
shuffled_sample_acquisition,3,912,3245,780,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8564102564102564,0.43899506073357797,0.3558553038099075,0.7538461538461538,0.6325641025641026,0.5762820512820512,0.6871794871794872,19.311909335187625,0.5125990230122617,1.3056309999956284,
shuffled_sample_acquisition,3,913,3245,780,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8371794871794872,0.41824705072287666,0.33315392333539534,0.7589743589743589,0.6351282051282052,0.5723076923076923,0.6974358974358974,19.07425844571753,0.49959065783130746,1.2422126000019489,
shuffled_sample_acquisition,3,914,3245,780,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8333333333333333,0.42866908407198495,0.2908838824295409,0.7474358974358974,0.6361538461538462,0.5743589743589743,0.7076923076923077,18.793472239577795,0.514402900886382,1.6179797999939183,
shuffled_sample_acquisition,3,915,3245,780,64,pair_integrity,shuffled_sample_pairs,acquisition,0.8551282051282051,0.4316564768982174,0.3445406725140852,0.7448717948717949,0.6292307692307693,0.5779487179487179,0.7012820512820512,19.116680623972822,0.5047856851283502,1.2496491999918362,
true_pair_biological,4,911,3170,855,256,pair_integrity,true_pairs,biological,0.3742690058479532,0.3690612594203278,0.3499680782418081,0.9637426900584796,0.8865497076023392,0.7467836257309943,0.9964912280701754,77.22782319202574,0.9860855525136885,0.8590678999898955,
true_pair_biological,4,912,3170,855,256,pair_integrity,true_pairs,biological,0.34269005847953216,0.3433941881416666,0.32987101452491857,0.9637426900584796,0.8886549707602339,0.7458479532163743,0.9976608187134502,77.85034293741953,1.002054712836604,0.9363883000041824,
true_pair_biological,4,913,3170,855,256,pair_integrity,true_pairs,biological,0.4128654970760233,0.35320834024666775,0.32181281816588186,0.960233918128655,0.8870175438596493,0.7485380116959064,0.9976608187134502,77.32307475715186,0.8555046201441954,0.4468734999973094,
true_pair_biological,4,914,3170,855,256,pair_integrity,true_pairs,biological,0.3707602339181286,0.36255267669755104,0.3321689226177565,0.9614035087719298,0.8921637426900584,0.7452631578947368,0.9964912280701754,77.58755581232865,0.9778628977173696,0.7739163000078406,
true_pair_biological,4,915,3170,855,256,pair_integrity,true_pairs,biological,0.3590643274853801,0.34693229007478044,0.32792602781272523,0.968421052631579,0.8905263157894738,0.7383625730994153,0.9964912280701754,77.95308995645091,0.9662120782212942,0.5646424000005936,
true_pair_acquisition,4,911,3170,855,64,pair_integrity,true_pairs,acquisition,0.8830409356725146,0.32895647946812445,0.29304946177234953,0.495906432748538,0.40210526315789474,0.36140350877192984,0.5111111111111111,13.466921452539315,0.3725268740996641,0.5066984000004595,
true_pair_acquisition,4,912,3170,855,64,pair_integrity,true_pairs,acquisition,0.8970760233918128,0.3339164985634819,0.27781014735926235,0.504093567251462,0.3962573099415205,0.35192982456140354,0.49473684210526314,13.292413900480822,0.3722276483334772,0.47210009999980684,
true_pair_acquisition,4,913,3170,855,64,pair_integrity,true_pairs,acquisition,0.8970760233918129,0.29006531427290644,0.23689403025774203,0.4935672514619883,0.38690058479532174,0.34596491228070175,0.504093567251462,13.300348671391806,0.3233452981790548,0.4108085000043502,
true_pair_acquisition,4,914,3170,855,64,pair_integrity,true_pairs,acquisition,0.888888888888889,0.36493179522557845,0.28615076017445684,0.5251461988304094,0.407953216374269,0.3603508771929825,0.52046783625731,13.578916901236742,0.4105482696287757,0.5374359999987064,
true_pair_acquisition,4,915,3170,855,64,pair_integrity,true_pairs,acquisition,0.8923976608187134,0.25797044294825333,0.2213944331793302,0.5181286549707602,0.39789473684210525,0.3543859649122807,0.5005847953216375,13.519033189775643,0.28907566018447783,0.47284489999583457,
shuffled_sample_biological,4,911,3170,855,256,pair_integrity,shuffled_sample_pairs,biological,0.44210526315789467,0.30440939747743345,0.25934077606911227,0.8853801169590644,0.6930994152046784,0.5432748538011696,0.904093567251462,47.031672448545926,0.6885450657227663,1.108558299994911,
shuffled_sample_biological,4,912,3170,855,256,pair_integrity,shuffled_sample_pairs,biological,0.4152046783625731,0.2869340249578651,0.25736379646709756,0.8842105263157894,0.6769590643274853,0.5311111111111111,0.9146198830409357,45.86014010803054,0.6910664544759849,0.7452794999990147,
