representation,representation_family,branch,fold,neural_seed,k_value,same_category_purity_k1,same_category_purity_k5,same_category_purity_k10,same_sample_top1_retrieval
oldstyle_removed_k3,oldstyle_linear_decomposition,removed,0,,3.0,0.25972222222222224,0.3169444444444444,0.30527777777777776,0.37777777777777777
oldstyle_removed_k3,oldstyle_linear_decomposition,removed,1,,3.0,0.3058201058201058,0.31915343915343913,0.311005291005291,0.22857142857142856
oldstyle_removed_k3,oldstyle_linear_decomposition,removed,2,,3.0,0.30344827586206896,0.29682758620689653,0.2904827586206897,0.23310344827586207
oldstyle_removed_k3,oldstyle_linear_decomposition,removed,3,,3.0,0.36923076923076925,0.3869230769230769,0.378974358974359,0.34102564102564104
oldstyle_removed_k3,oldstyle_linear_decomposition,removed,4,,3.0,0.2982456140350877,0.28771929824561404,0.29005847953216374,0.2327485380116959
oldstyle_removed_k4,oldstyle_linear_decomposition,removed,0,,4.0,0.3625,0.3397222222222222,0.3298611111111111,0.42916666666666664
oldstyle_removed_k4,oldstyle_linear_decomposition,removed,1,,4.0,0.3100529100529101,0.31576719576719575,0.3172486772486772,0.23492063492063492
oldstyle_removed_k4,oldstyle_linear_decomposition,removed,2,,4.0,0.32827586206896553,0.31751724137931037,0.3063448275862069,0.25655172413793104
oldstyle_removed_k4,oldstyle_linear_decomposition,removed,3,,4.0,0.4025641025641026,0.4058974358974359,0.41423076923076924,0.38461538461538464
oldstyle_removed_k4,oldstyle_linear_decomposition,removed,4,,4.0,0.3286549707602339,0.3146198830409357,0.3030409356725146,0.26432748538011697
