dataset_backbone,fold,seed,condition,scanner_probe_delta,paired_cosine_delta,top1_retrieval_delta,effective_rank_delta,bio_scanner_tissue_ratio,acq_scanner_tissue_ratio
canineSCC_DINOv2,4,914,shuffled_region_pairs,0.5964912280701755,-0.005564802885055453,-0.2780701754385964,-35.06162982574983,0.4311774461028192,2.108145106091718
canineSCC_DINOv2,4,914,shuffled_sample_pairs,0.4292397660818713,-0.05162134170532218,-0.28567251461988313,-26.545047255288736,0.6388537715971344,2.1375358166189113
canineSCC_DINOv2,4,914,true_pairs,0.5216374269005847,-0.3256008461117744,-0.7584795321637429,-64.00863891109191,0.39760931110412073,5.2102564102564095
canineSCC_DINOv2,4,915,shuffled_region_pairs,0.5812865497076023,-0.045975798368453946,-0.30146198830409343,-36.05688734108323,0.4215646534252129,2.108635097493036
canineSCC_DINOv2,4,915,shuffled_sample_pairs,0.33801169590643276,-0.07117884159088128,-0.29239766081871355,-25.4129888381539,0.6913169921063564,2.004264392324094
canineSCC_DINOv2,4,915,true_pairs,0.5380116959064327,-0.3495141968131066,-0.7558479532163742,-64.43405676667527,0.3882017126546147,5.394366197183098
SCORPION_Phikon,0,701,true_pairs,0.4959999999999999,-0.6698786780238152,-0.9205,-37.723568954060205,0.44800000000000006,11.874213836477987
SCORPION_Phikon,0,701,shuffled_region_pairs,0.516,-0.29977661892771723,-0.44799999999999995,-28.261305986822872,0.4535864978902953,1.8919999999999997
SCORPION_Phikon,0,701,shuffled_sample_pairs,0.596,-0.21459035202860832,-0.3745000000000001,-27.267101862881102,0.40069084628670115,1.9109311740890689
SCORPION_Phikon,0,702,true_pairs,0.4779999999999999,-0.6621809061616659,-0.9219999999999999,-38.49571644965444,0.47400000000000003,12.205128205128203
SCORPION_Phikon,0,702,shuffled_region_pairs,0.49799999999999994,-0.29332723692059515,-0.4489999999999999,-27.830077208133233,0.482721956406167,1.9369277721261444
SCORPION_Phikon,0,702,shuffled_sample_pairs,0.5539999999999999,-0.21284956708550457,-0.36050000000000004,-26.67535615575083,0.44393853158793395,1.8223938223938223
SCORPION_Phikon,0,703,true_pairs,0.42399999999999993,-0.6427714744582773,-0.92,-40.016910601831334,0.526,11.875
SCORPION_Phikon,0,703,shuffled_region_pairs,0.522,-0.2830377411097288,-0.475,-29.69167177306702,0.4364012409513961,1.91869918699187
SCORPION_Phikon,0,703,shuffled_sample_pairs,0.6080000000000001,-0.20948819965124127,-0.3824999999999999,-25.26116392828949,0.3793103448275862,1.9241025641025642
SCORPION_Phikon,0,704,true_pairs,0.458,-0.6812349068000914,-0.9365,-40.127450512874475,0.4864864864864864,15.103999999999996
SCORPION_Phikon,0,704,shuffled_region_pairs,0.49399999999999983,-0.3004393186420202,-0.502,-31.720247054421865,0.47564169722367733,2.0950276243093917
SCORPION_Phikon,0,704,shuffled_sample_pairs,0.54,-0.20180087238550187,-0.4175000000000001,-29.2427499914741,0.47314285714285714,2.085245901639345
SCORPION_Phikon,0,705,true_pairs,0.44799999999999984,-0.6688275566324592,-0.926,-38.421503774645956,0.5082541270635318,13.006802721088432
SCORPION_Phikon,0,705,shuffled_region_pairs,0.562,-0.2888968728482723,-0.5055000000000001,-30.37616199455669,0.4192872117400419,2.1449275362318843
SCORPION_Phikon,0,705,shuffled_sample_pairs,0.532,-0.23063808083534243,-0.4295000000000001,-25.917671336458135,0.458498023715415,2.0570175438596494
