noise_level,seed,strategy,grade,precision,recall,f1,support
0.25,99,adaptive_ordinal_harm,5,0.48672566371681414,0.5555555555555556,0.5188679245283019,99
0.25,99,adaptive_ordinal_harm,high_grade_4_5,0.6649746192893401,0.655,0.6599496221662469,200
0.25,99,cross_site_blend_50,0,0.5071428571428571,0.71,0.5916666666666667,100
0.25,99,cross_site_blend_50,1,0.3626373626373626,0.33,0.34554973821989526,100
0.25,99,cross_site_blend_50,2,0.40625,0.26,0.3170731707317073,100
0.25,99,cross_site_blend_50,3,0.308411214953271,0.32673267326732675,0.3173076923076923,101
0.25,99,cross_site_blend_50,4,0.31521739130434784,0.2871287128712871,0.3005181347150259,101
0.25,99,cross_site_blend_50,5,0.4672897196261682,0.5050505050505051,0.4854368932038835,99
0.25,99,cross_site_blend_50,high_grade_4_5,0.628140703517588,0.625,0.6265664160401002,200
0.25,99,fedavg,0,0.45121951219512196,0.74,0.5606060606060606,100
0.25,99,fedavg,1,0.4166666666666667,0.3,0.3488372093023256,100
0.25,99,fedavg,2,0.4421052631578947,0.42,0.4307692307692308,100
0.25,99,fedavg,3,0.34523809523809523,0.2871287128712871,0.31351351351351353,101
0.25,99,fedavg,4,0.29411764705882354,0.24752475247524752,0.26881720430107525,101
0.25,99,fedavg,5,0.5148514851485149,0.5252525252525253,0.52,99
0.25,99,fedavg,high_grade_4_5,0.6397849462365591,0.595,0.616580310880829,200
0.25,99,ordinal_harm_blend_50,0,0.5161290322580645,0.64,0.5714285714285714,100
0.25,99,ordinal_harm_blend_50,1,0.3626373626373626,0.33,0.34554973821989526,100
0.25,99,ordinal_harm_blend_50,2,0.4383561643835616,0.32,0.3699421965317919,100
0.25,99,ordinal_harm_blend_50,3,0.3153153153153153,0.3465346534653465,0.330188679245283,101
0.25,99,ordinal_harm_blend_50,4,0.3493975903614458,0.2871287128712871,0.31521739130434784,101
0.25,99,ordinal_harm_blend_50,5,0.4789915966386555,0.5757575757575758,0.5229357798165137,99
0.25,99,ordinal_harm_blend_50,high_grade_4_5,0.6584158415841584,0.665,0.6616915422885572,200
0.25,123,adaptive_ordinal_harm,0,0.5748031496062992,0.73,0.6431718061674009,100
0.25,123,adaptive_ordinal_harm,1,0.38738738738738737,0.42574257425742573,0.4056603773584906,101
