representation,representation_family,confounding_strength,class,mean,std,count
pca_removal_k2,pca_removal,moderate,Dermis,0.1341578947368421,0.06814091193945285,25
pca_removal_k2,pca_removal,moderate,Epidermis,0.5532177063143537,0.06206670158724015,25
pca_removal_k2,pca_removal,moderate,Inflamm/Necrosis,0.3882952380952381,0.14690091520994272,25
pca_removal_k2,pca_removal,moderate,SCC,0.3712058574067715,0.12243344655033486,25
pca_removal_k2,pca_removal,moderate,Subcutis,0.5675890196078431,0.22011696153430385,25
pca_removal_k2,pca_removal,severe,Bone,0.26036825396825397,0.14757624912949324,25
pca_removal_k2,pca_removal,severe,Cartilage,0.0,0.0,5
pca_removal_k2,pca_removal,severe,Dermis,0.19031906432748535,0.09686683806236197,25
pca_removal_k2,pca_removal,severe,Epidermis,0.5187054869427616,0.07332942591297878,25
pca_removal_k2,pca_removal,severe,Inflamm/Necrosis,0.37885555555555556,0.144029695963978,25
pca_removal_k2,pca_removal,severe,SCC,0.36971692516255994,0.12643062181096512,25
pca_removal_k2,pca_removal,severe,Subcutis,0.5243701960784314,0.20271159445557252,25
pca_removal_k32,pca_removal,mild,Bone,0.24319999999999997,0.15807446369106748,25
pca_removal_k32,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k32,pca_removal,mild,Dermis,0.11003087719298243,0.06219835055845874,25
pca_removal_k32,pca_removal,mild,Epidermis,0.4107056523625377,0.05028940079934913,25
pca_removal_k32,pca_removal,mild,Inflamm/Necrosis,0.2412412698412698,0.12821107731645043,25
pca_removal_k32,pca_removal,mild,SCC,0.35587914591507624,0.08168005619352005,25
pca_removal_k32,pca_removal,mild,Subcutis,0.4055686274509804,0.17220654515592768,25
pca_removal_k32,pca_removal,moderate,Bone,0.259047619047619,0.15484851734548533,25
pca_removal_k32,pca_removal,moderate,Cartilage,0.0,0.0,5
pca_removal_k32,pca_removal,moderate,Dermis,0.10083859649122806,0.059791914881242976,25
pca_removal_k32,pca_removal,moderate,Epidermis,0.36142982393717793,0.051470531152509234,25
pca_removal_k32,pca_removal,moderate,Inflamm/Necrosis,0.22953015873015872,0.0972538818983678,25
pca_removal_k32,pca_removal,moderate,SCC,0.3644144894772207,0.085664889183033,25
pca_removal_k32,pca_removal,moderate,Subcutis,0.38361098039215685,0.16483032566202602,25
pca_removal_k32,pca_removal,severe,Bone,0.2336507936507936,0.1368554700006624,25
pca_removal_k32,pca_removal,severe,Cartilage,0.0,0.0,5
pca_removal_k32,pca_removal,severe,Dermis,0.1367286549707602,0.08466480375047503,25
pca_removal_k32,pca_removal,severe,Epidermis,0.371686547470794,0.05890533346521192,25
pca_removal_k32,pca_removal,severe,Inflamm/Necrosis,0.20786190476190472,0.08508091772476686,25
pca_removal_k32,pca_removal,severe,SCC,0.3483964767792668,0.10403954479801883,25
pca_removal_k32,pca_removal,severe,Subcutis,0.35586823529411765,0.1386031497683977,25
pca_removal_k4,pca_removal,mild,Bone,0.26333968253968254,0.16032440448054583,25
pca_removal_k4,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k4,pca_removal,mild,Dermis,0.17419485380116956,0.08805944141385198,25
pca_removal_k4,pca_removal,mild,Epidermis,0.5547797537118013,0.0665431072495507,25
pca_removal_k4,pca_removal,mild,Inflamm/Necrosis,0.3861253968253968,0.18671492857673155,25
pca_removal_k4,pca_removal,mild,SCC,0.3779287699681776,0.11930526166074508,25
pca_removal_k4,pca_removal,mild,Subcutis,0.5959717647058824,0.19760185041635156,25
pca_removal_k4,pca_removal,moderate,Bone,0.2619936507936508,0.14350984110504453,25
pca_removal_k4,pca_removal,moderate,Cartilage,0.0,0.0,5
pca_removal_k4,pca_removal,moderate,Dermis,0.1474414035087719,0.07122794698501271,25
pca_removal_k4,pca_removal,moderate,Epidermis,0.5322123913457367,0.05655522288406585,25
pca_removal_k4,pca_removal,moderate,Inflamm/Necrosis,0.3741,0.1430016147048,25
pca_removal_k4,pca_removal,moderate,SCC,0.38148337449302594,0.13233763225373812,25
pca_removal_k4,pca_removal,moderate,Subcutis,0.5615717647058823,0.2009358439134665,25
pca_removal_k4,pca_removal,severe,Bone,0.25467936507936506,0.12988632224425806,25
pca_removal_k4,pca_removal,severe,Cartilage,0.0,0.0,5
pca_removal_k4,pca_removal,severe,Dermis,0.19225801169590642,0.09260227424996387,25
pca_removal_k4,pca_removal,severe,Epidermis,0.5095715506075276,0.06743687894722226,25
pca_removal_k4,pca_removal,severe,Inflamm/Necrosis,0.3505047619047619,0.15290573625156914,25
pca_removal_k4,pca_removal,severe,SCC,0.3703092382375288,0.12221436533435162,25
pca_removal_k4,pca_removal,severe,Subcutis,0.5146070588235294,0.1924417286639785,25
pca_removal_k8,pca_removal,mild,Bone,0.2397460317460317,0.1557485035943591,25
pca_removal_k8,pca_removal,mild,Cartilage,0.0,0.0,5
pca_removal_k8,pca_removal,mild,Dermis,0.1360631578947368,0.0660762141353578,25
pca_removal_k8,pca_removal,mild,Epidermis,0.5157686389073555,0.04199473634194074,25
pca_removal_k8,pca_removal,mild,Inflamm/Necrosis,0.3172904761904762,0.1313886734172758,25
