representation,representation_family,confounding_strength,scanner,mean,std,count
pca_removal_k8,pca_removal,mild,cs2,0.6338296622044354,0.04125258302639962,25
pca_removal_k8,pca_removal,mild,gt450,0.6343437336341148,0.06230973490782372,25
pca_removal_k8,pca_removal,mild,nz20,0.6154917152149457,0.05299610814198458,25
pca_removal_k8,pca_removal,mild,nz210,0.6154667212534726,0.04988557817693109,25
pca_removal_k8,pca_removal,mild,p1000,0.6360000598312758,0.05081740529548548,25
pca_removal_k8,pca_removal,moderate,cs2,0.665107680415303,0.03924463529906918,25
pca_removal_k8,pca_removal,moderate,gt450,0.658550462879864,0.05134125236412976,25
pca_removal_k8,pca_removal,moderate,nz20,0.6295747647190478,0.045450302514356285,25
pca_removal_k8,pca_removal,moderate,nz210,0.6303305881118948,0.051039377625620067,25
pca_removal_k8,pca_removal,moderate,p1000,0.651066090661372,0.04425644003443005,25
pca_removal_k8,pca_removal,severe,cs2,0.6446273519785316,0.059807267351606845,25
pca_removal_k8,pca_removal,severe,gt450,0.6845356450365524,0.05473296040859608,25
pca_removal_k8,pca_removal,severe,nz20,0.6406046855275531,0.06302866688922097,25
pca_removal_k8,pca_removal,severe,nz210,0.641504512090719,0.07439394565817996,25
pca_removal_k8,pca_removal,severe,p1000,0.6721462704802087,0.06594434461255448,25
shuffled_sample_acquisition,neural_factorization,mild,cs2,0.6215381569898811,0.06700626695612454,125
shuffled_sample_acquisition,neural_factorization,mild,gt450,0.6330281222508082,0.06382258909779083,125
shuffled_sample_acquisition,neural_factorization,mild,nz20,0.6386572101488618,0.06634589469664665,125
shuffled_sample_acquisition,neural_factorization,mild,nz210,0.6211926191842707,0.07139832554394579,125
shuffled_sample_acquisition,neural_factorization,mild,p1000,0.6327095933172159,0.062188033069381275,125
shuffled_sample_acquisition,neural_factorization,moderate,cs2,0.6473528937285743,0.05958147506396766,125
shuffled_sample_acquisition,neural_factorization,moderate,gt450,0.6619312472900495,0.060688478867570186,125
shuffled_sample_acquisition,neural_factorization,moderate,nz20,0.6458608964941088,0.06719009471981938,125
shuffled_sample_acquisition,neural_factorization,moderate,nz210,0.6373532174822556,0.07120808466483426,125
shuffled_sample_acquisition,neural_factorization,moderate,p1000,0.6385512344817245,0.06521856343749918,125
shuffled_sample_acquisition,neural_factorization,severe,cs2,0.6449972676312059,0.08061037689341805,125
shuffled_sample_acquisition,neural_factorization,severe,gt450,0.6949077587130218,0.07095888167868318,125
shuffled_sample_acquisition,neural_factorization,severe,nz20,0.6614302670173813,0.07737961549312233,125
shuffled_sample_acquisition,neural_factorization,severe,nz210,0.6636496086960697,0.07768295252016168,125
shuffled_sample_acquisition,neural_factorization,severe,p1000,0.6855656636433406,0.07802712740342455,125
shuffled_sample_biological,neural_factorization,mild,cs2,0.6840712477480173,0.05853143042541599,125
shuffled_sample_biological,neural_factorization,mild,gt450,0.6774434867747027,0.048677938984669225,125
shuffled_sample_biological,neural_factorization,mild,nz20,0.660911654246137,0.059525899306244336,125
shuffled_sample_biological,neural_factorization,mild,nz210,0.6574318865983113,0.059733921916110204,125
shuffled_sample_biological,neural_factorization,mild,p1000,0.6593450239952962,0.06548020663894599,125
shuffled_sample_biological,neural_factorization,moderate,cs2,0.6985974867170874,0.05601618239237326,125
shuffled_sample_biological,neural_factorization,moderate,gt450,0.6899378293213139,0.05045256626837508,125
shuffled_sample_biological,neural_factorization,moderate,nz20,0.6652000678087793,0.05986369867465128,125
shuffled_sample_biological,neural_factorization,moderate,nz210,0.6631087550884285,0.06403021651305989,125
shuffled_sample_biological,neural_factorization,moderate,p1000,0.6630024399342003,0.058268702129439756,125
shuffled_sample_biological,neural_factorization,severe,cs2,0.6931522948987558,0.06340312657187029,125
shuffled_sample_biological,neural_factorization,severe,gt450,0.686126569370671,0.0540694327377243,125
shuffled_sample_biological,neural_factorization,severe,nz20,0.6590154841864461,0.06414696839165568,125
shuffled_sample_biological,neural_factorization,severe,nz210,0.6610951630476132,0.06331971116550984,125
shuffled_sample_biological,neural_factorization,severe,p1000,0.6673857476730435,0.062382311797644203,125
true_pair_acquisition,neural_factorization,mild,cs2,0.6789436544500065,0.05846571979315659,125
true_pair_acquisition,neural_factorization,mild,gt450,0.6866890701554949,0.053911847496268435,125
true_pair_acquisition,neural_factorization,mild,nz20,0.6918665407255243,0.05867820257006823,125
true_pair_acquisition,neural_factorization,mild,nz210,0.6836401388824256,0.054731022559602875,125
true_pair_acquisition,neural_factorization,mild,p1000,0.6751775838801247,0.06158866103203649,125
true_pair_acquisition,neural_factorization,moderate,cs2,0.7051790750084761,0.053392770535374647,125
true_pair_acquisition,neural_factorization,moderate,gt450,0.7131075399964693,0.05610782340808157,125
true_pair_acquisition,neural_factorization,moderate,nz20,0.7060475863989476,0.060283166177487295,125
true_pair_acquisition,neural_factorization,moderate,nz210,0.7088230280978013,0.05860591234617429,125
true_pair_acquisition,neural_factorization,moderate,p1000,0.6812033641427471,0.06391331244330765,125
true_pair_acquisition,neural_factorization,severe,cs2,0.691311356714805,0.07087627057730576,125
true_pair_acquisition,neural_factorization,severe,gt450,0.7448901463798016,0.06704965267999399,125
true_pair_acquisition,neural_factorization,severe,nz20,0.7082303705771945,0.0681770417698589,125
true_pair_acquisition,neural_factorization,severe,nz210,0.7245594990275571,0.07540648281517696,125
true_pair_acquisition,neural_factorization,severe,p1000,0.7293036333096224,0.08073378031149675,125
true_pair_biological,neural_factorization,mild,cs2,0.5819109558452571,0.05890045562857185,125
true_pair_biological,neural_factorization,mild,gt450,0.5987063207680268,0.06957657895307338,125
true_pair_biological,neural_factorization,mild,nz20,0.5833985483159712,0.06704264140751667,125
true_pair_biological,neural_factorization,mild,nz210,0.5802836553511689,0.06194931500857825,125
true_pair_biological,neural_factorization,mild,p1000,0.5866566221773118,0.06571443510768792,125
true_pair_biological,neural_factorization,moderate,cs2,0.5860913071804179,0.05992515631089209,125
true_pair_biological,neural_factorization,moderate,gt450,0.5974168090429434,0.07162013950275359,125
true_pair_biological,neural_factorization,moderate,nz20,0.5826104455805,0.07097769384692225,125
true_pair_biological,neural_factorization,moderate,nz210,0.5793323824592427,0.06295900768834922,125
true_pair_biological,neural_factorization,moderate,p1000,0.5893260726233503,0.06571778823729608,125
true_pair_biological,neural_factorization,severe,cs2,0.5836232914292806,0.06287165797521295,125
true_pair_biological,neural_factorization,severe,gt450,0.5972032882825986,0.07497549559730085,125
true_pair_biological,neural_factorization,severe,nz20,0.583322363896774,0.07065348948591263,125
true_pair_biological,neural_factorization,severe,nz210,0.5851254327241624,0.06158640476911406,125
true_pair_biological,neural_factorization,severe,p1000,0.5873006093926239,0.06356459726100899,125
