noise,seed,metric,clean_strategy,corrupted_strategy,chosen_strategy,clean_value,corrupted_value,switch_value,delta_corrupted_vs_clean,delta_switch_vs_clean
45,7,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6870541648289492,0.7039433897461086,0.7039433897461086,0.016889224917159384,0.016889224917159384
45,7,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5228235294117647,0.5397647058823529,0.5397647058823529,0.016941176470588237,0.016941176470588237
45,7,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4450243459285239,0.4719750815683856,0.4719750815683856,0.026950735639861667,0.026950735639861667
45,99,global_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.680570804630434,0.6872704525845417,0.6872704525845417,0.0066996479541077125,0.0066996479541077125
45,99,worst_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6359239911490293,0.6401188426772864,0.6401188426772864,0.004194851528257049,0.004194851528257049
45,99,mean_site_qwk,fedavg,cross_site_blend_50,cross_site_blend_50,0.6796394366057296,0.6817101998862956,0.6817101998862956,0.0020707632805659903,0.0020707632805659903
45,99,global_accuracy,fedavg,cross_site_blend_50,cross_site_blend_50,0.5294117647058824,0.5374117647058824,0.5374117647058824,0.008000000000000007,0.008000000000000007
45,99,macro_f1,fedavg,cross_site_blend_50,cross_site_blend_50,0.4697329245397925,0.4776774954936414,0.4776774954936414,0.007944570953848928,0.007944570953848928
0,11,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7429581080983441,0.7337225638667625,0.7429581080983441,-0.009235544231581572,0.0
0,11,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7164217698801905,0.7119886879296122,0.7164217698801905,-0.004433081950578233,0.0
0,11,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7441992641283725,0.743286473704899,0.7441992641283725,-0.0009127904234734752,0.0
0,11,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5745882352941176,0.5736470588235294,0.5745882352941176,-0.0009411764705882231,0.0
0,11,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5098279114359029,0.5055207797599799,0.5098279114359029,-0.004307131675923004,0.0
0,17,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7239654930746602,0.7418253432604869,0.7239654930746602,0.017859850185826698,0.0
0,17,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6867531239805871,0.6977504245196491,0.6867531239805871,0.010997300539062005,0.0
0,17,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.709715391171373,0.7270813020050024,0.709715391171373,0.017365910833629483,0.0
0,17,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5727058823529412,0.5835294117647059,0.5727058823529412,0.010823529411764676,0.0
0,17,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5116310736011755,0.5224528915476301,0.5116310736011755,0.010821817946454537,0.0
0,23,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7018818577459033,0.7037645067143725,0.7018818577459033,0.001882648968469236,0.0
0,23,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6673741964836729,0.6681155525660587,0.6673741964836729,0.0007413560823857912,0.0
0,23,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7174845380245973,0.7204905791820245,0.7174845380245973,0.0030060411574271972,0.0
0,23,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.56,0.5604705882352942,0.56,0.00047058823529411153,0.0
0,23,macro_f1,fedavg,cross_site_blend_50,fedavg,0.4860606677435226,0.4889164480197272,0.4860606677435226,0.0028557802762046447,0.0
0,31,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7086968931815969,0.7165003903666098,0.7086968931815969,0.007803497185012942,0.0
0,31,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.6738253917670043,0.6904800881334036,0.6738253917670043,0.01665469636639927,0.0
0,31,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7083238904839249,0.7226313294886846,0.7083238904839249,0.014307439004759726,0.0
0,31,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5496470588235294,0.5534117647058824,0.5496470588235294,0.0037647058823530033,0.0
0,31,macro_f1,fedavg,cross_site_blend_50,fedavg,0.490416290241764,0.4950671262046908,0.490416290241764,0.004650835962926814,0.0
0,37,global_qwk,fedavg,cross_site_blend_50,fedavg,0.7169013513435238,0.7209045782831497,0.7169013513435238,0.004003226939625848,0.0
0,37,worst_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7072214848478994,0.7026297227340665,0.7072214848478994,-0.004591762113832831,0.0
0,37,mean_site_qwk,fedavg,cross_site_blend_50,fedavg,0.7205745926518567,0.7245873212371869,0.7205745926518567,0.004012728585330194,0.0
0,37,global_accuracy,fedavg,cross_site_blend_50,fedavg,0.5755294117647058,0.5604705882352942,0.5755294117647058,-0.01505882352941168,0.0
0,37,macro_f1,fedavg,cross_site_blend_50,fedavg,0.5218186688693097,0.4917730629816231,0.5218186688693097,-0.03004560588768662,0.0
